id,lenght,retweet_count,hashtags,mentions,contains_url,demand_words,offer_words,tfidf_demand,tfidf_offer,neg_words,pos_words,n_known_medicines,cluster
64.0,95.0,37.0,0.0,3.0,1.0,0.0,1.0,0.0,0.08553598902477605,2.0,0.0,0.0,0.0
65.0,98.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
70.0,79.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
73.0,111.0,2.0,0.0,1.0,0.0,1.0,1.0,0.07898744028171438,0.08484282865990753,7.0,0.0,0.0,0.0
75.0,82.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0
77.0,43.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79.0,108.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.0,118.0,10.0,0.0,1.0,1.0,2.0,1.0,0.15706932798492138,0.089120618340239,2.0,2.0,0.0,0.0
80.0,118.0,10.0,0.0,1.0,1.0,2.0,1.0,0.15706932798492138,0.089120618340239,2.0,2.0,0.0,0.0
89.0,140.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
90.0,141.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0
90.0,141.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0
100.0,144.0,5345.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
107.0,142.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
107.0,142.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
112.0,135.0,6.0,1.0,0.0,1.0,1.0,0.0,0.10029865243481578,0.0,5.0,5.0,0.0,0.0
116.0,142.0,10.0,0.0,2.0,0.0,1.0,2.0,0.07786342754808066,0.17147121462021886,4.0,5.0,0.0,0.0
117.0,52.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122.0,47.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123.0,134.0,2.0,0.0,0.0,0.0,1.0,0.0,0.07853466399246069,0.0,7.0,5.0,0.0,0.0
124.0,149.0,99.0,1.0,1.0,0.0,0.0,1.0,0.0,0.09191306438156648,7.0,5.0,0.0,0.0
131.0,66.0,0.0,0.0,3.0,0.0,1.0,0.0,0.07853466399246069,0.0,1.0,1.0,0.0,0.0
133.0,103.0,0.0,0.0,1.0,0.0,2.0,1.0,0.15639809154054135,0.08484282865990753,4.0,3.0,0.0,0.0
134.0,72.0,21.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135.0,120.0,5.0,0.0,1.0,0.0,1.0,1.0,0.07786342754808068,0.08484282865990753,4.0,3.0,0.0,0.0
139.0,117.0,16.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140.0,153.0,99.0,2.0,3.0,0.0,5.0,1.0,0.4167647913846193,0.08484282865990753,6.0,4.0,0.0,0.0
140.0,150.0,99.0,2.0,3.0,0.0,5.0,1.0,0.4167647913846193,0.08484282865990753,6.0,4.0,0.0,0.0
141.0,142.0,2.0,1.0,8.0,0.0,2.0,1.0,0.15685086782979504,0.08484282865990753,0.0,2.0,0.0,0.0
142.0,98.0,6.0,0.0,1.0,1.0,0.0,1.0,0.0,0.089120618340239,1.0,0.0,0.0,0.0
143.0,142.0,4.0,0.0,8.0,0.0,1.0,1.0,0.07786342754808068,0.08484282865990753,2.0,1.0,0.0,0.0
148.0,143.0,102.0,1.0,1.0,1.0,2.0,0.0,0.15684049737888273,0.0,5.0,2.0,0.0,0.0
149.0,145.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
150.0,128.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
